"date","show","theatre","city","seat","rating","cast_vibe","music_vibe","stage_magic","story_feel","price","note"
"2025-05-22","Sexual Misconduct of the Middle Classes","Minetta Lane Theatre","New York, NY","Orchestra Left, Row P, Seat 109","3.666666667","5","NA","2","4","$35",""
"2025-05-22","Othello","Ethel Barrymore Theatre","New York, NY","Center Orchestra, Row N, Seat 104","3.333333333","5","NA","3","2","",""
"2025-05-23","Hugh Jackman: From New York, With Love","Radio City Music Hall","New York, NY","","4","5","4","3","NA","",""
"2025-05-24","Hugh Jackman: From New York, With Love","Radio City Music Hall","New York, NY","","4","5","4","3","NA","",""
"2025-05-25","Pirates! The Penzance Musical","Todd Haimes Theatre","New York, NY","Orchestra, Row C, Seat 8","3","5","2","3","2","$53",""
"2025-05-28","Sunset Blvd.","St. James Theatre","New York, NY","Orchestra","4.75","5","5","5","4","$99","Nicole is queen that I have to see her the second time"
"2025-05-29","The Great Gatsby","Broadway Theatre","","","3","4","2","4","2","$44",""
"2025-05-30","Old Friends","Samuel J. Friedman Theatre","New York, NY","Orchestra, Row N, Seat 119","5","5","5","5","NA","$199",""
"2025-06-01","& Juliet","Stephen Sondheim Theatre","New York, NY","","3","2","4","4","2","$60",""
"2025-06-03","Little Shop of Horrors","Westside Theatre Upstairs","New York, NY","Center Orchestra, Row D, Seats 111 & 112","4.25","4","4","5","4","$116",""
"2025-06-04","Operation Mincemeat: A New Musical","Golden Theatre","New York, NY","Left Front Mezzanine, Row D, Seats 113 & 115","4.75","5","5","5","4","$44",""
"2025-06-04","Just in Time","Circle in the Square Theatre","New York, NY","Orchestra, Row K, Seats 109 & 111","4.25","5","5","4","3","$171","Jonathan Groff is adorable!"
"2025-06-05","Dead Outlaw","Longacre Theatre","New York, NY","Left Orchestra, Row H, Seats 10 & 12","3.25","4","3","3","3","$40",""
"2025-06-06","Harry Potter and the Cursed Child","Lyric Theatre","New York, NY","Orchestra, Row B, Seats 20 & 22","3.75","3","3","5","4","$40",""
"2025-06-18","Mamma Mia!","Paramount Theatre","Seattle, WA","","3","1","4","3","4","$35",""
"2025-09-16","Some Like It Hot","The 5th Avenue Theatre","Seattle, WA","","2","2","2","2","2","$35",""
"2025-09-25","Suffs","The 5th Avenue Theatre","Seattle, WA","","4","4","4","4","4","",""
"2025-10-26","Chicago","The 5th Avenue Theatre","Seattle, WA","","3.25","3","4","3","3","$45",""
"2025-12-06","Hunchback of Notre Dame","Bainbridge Performing Arts","Bainbridge Island, WA","","3.5","3","4","3","4","",""
"2025-12-18","The Lion King","Paramount Theatre","Seattle, WA","","4.5","4","5","5","4","$49",""
"2025-12-31","Come From Away","Seattle Rep","Seattle, WA","","4.75","4","5","5","5","$0","The best thing happened in 2025 QAQ Thank you Seattle Rep!"
