date,show,theatre,city,seat,rating,cast_vibe,music_vibe,stage_magic,story_feel,price,note,,
5/21/2025,Cabaret,August Wilson Theatre,"New York, NY","Orchestra 4, Row H, Seats 207 & 208",4.25,5,4,4,4,$99,,,
5/22/2025,Sexual Misconduct of the Middle Classes,Minetta Lane Theatre,"New York, NY","Orchestra Left, Row P, Seat 109",3.666666667,5,NA,2,4,$35,,,
5/22/2025,Othello,Ethel Barrymore Theatre,"New York, NY","Center Orchestra, Row N, Seat 104",3.333333333,5,NA,3,2,,,,
5/23/2025,"Hugh Jackman: From New York, With Love",Radio City Music Hall,"New York, NY",,4,5,4,3,NA,,,,
5/24/2025,"Hugh Jackman: From New York, With Love",Radio City Music Hall,"New York, NY",,4,5,4,3,NA,,,,
5/25/2025,Pirates! The Penzance Musical,Todd Haimes Theatre,"New York, NY","Orchestra, Row C, Seat 8",3,5,2,3,2,$53,,,
5/28/2025,Sunset Blvd.,St. James Theatre,"New York, NY",Orchestra,4.75,5,5,5,4,$99,Nicole is queen that I have to see her the second time,,
5/29/2025,The Great Gatsby,Broadway Theatre,,,3,4,2,4,2,$44,,,
5/30/2025,Old Friends,Samuel J. Friedman Theatre,"New York, NY","Orchestra, Row N, Seat 119",5,5,5,5,NA,$199,,,
6/1/2025,& Juliet,Stephen Sondheim Theatre,"New York, NY",,3,2,4,4,2,$60,,,
6/3/2025,Little Shop of Horrors,Westside Theatre Upstairs,"New York, NY","Center Orchestra, Row D, Seats 111 & 112",4.25,4,4,5,4,$116,,,
6/4/2025,Operation Mincemeat: A New Musical,Golden Theatre,"New York, NY","Left Front Mezzanine, Row D, Seats 113 & 115",4.75,5,5,5,4,$44,,,
6/4/2025,Just in Time,Circle in the Square Theatre,"New York, NY","Orchestra, Row K, Seats 109 & 111",4.25,5,5,4,3,$171,Jonathan Groff is adorable!,,
6/5/2025,Dead Outlaw,Longacre Theatre,"New York, NY","Left Orchestra, Row H, Seats 10 & 12",3.25,4,3,3,3,$40,,,
6/6/2025,Harry Potter and the Cursed Child,Lyric Theatre,"New York, NY","Orchestra, Row B, Seats 20 & 22",3.75,3,3,5,4,$40,,,
6/18/2025,Mamma Mia!,Paramount Theatre,"Seattle, WA",,3,1,4,3,4,$35,,,
9/16/2025,Some Like It Hot,The 5th Avenue Theatre,"Seattle, WA",,2,2,2,2,2,$35,,,
9/25/2025,Suffs,The 5th Avenue Theatre,"Seattle, WA",,4,4,4,4,4,,,,
10/26/2025,Chicago,The 5th Avenue Theatre,"Seattle, WA",,3.25,3,4,3,3,$45,,,
12/6/2025,Hunchback of Notre Dame,Bainbridge Performing Arts,"Bainbridge Island, WA",,3.5,3,4,3,4,,,,
12/18/2025,The Lion King,Paramount Theatre,"Seattle, WA",,4.5,4,5,5,4,$49,,,
12/31/2025,Come From Away,Seattle Rep,"Seattle, WA",,4.75,4,5,5,5,$0,The best thing happened in 2025 QAQ Thank you Seattle Rep!,,
2/12/2026,Monty Python's Spamalot,The 5th Avenue Theatre,"Seattle, WA","Row U, Seats 19, 21 & 23",3,3,3,4,2,$49,,,
3/8/2026,The Notebook,Paramount Theatre,"Seattle, WA",,3,3,3,3,3,$40,,,
5/9/2026,Jesus Christ Superstar,The 5th Avenue Theatre,"Seattle, WA","Zone 3 Orchestra, Row W, Seats 12 & 14",2.5,1,4,2,3,$49,,,
6/1/2026,Disney's Hercules,Theatre Royal Drury Lane,"London, UK","Royal Circle, Seat D37",3.25,3,4,4,2,£29.50,,,
6/2/2026,My Neighbour Totoro,Gillian Lynne Theatre,"London, UK",,3.25,3,3,4,3,£30.00,,,
6/3/2026,Cabaret,Kit Kat Club,"London, UK","Stalls, Seat F19",4,4,4,4,4,£65.00,,,
6/3/2026,The Phantom of the Opera,His Majesty's Theatre,"London, UK",,4,5,4,4,3,£37.50,,,
6/5/2026,Harry Potter and the Cursed Child: Both Parts,Palace Theatre,"London, UK","Stalls, Seat BB17",4.333333333,4,NA,5,4,£40.00,,,
6/6/2026,Romeo & Juliet,Harold Pinter Theatre,"London, UK",Dress Circle A1,3.25,3,4,4,2,£1.00,,,
6/7/2026,Come Alive! The Greatest Showman Circus Spectacular,Empress Museum,"London, UK",,3,3,4,4,1,£30.00,,,
6/8/2026,Les Miserables,Sondheim Theatre,"London, UK",,4.5,4,5,5,4,£42.50,,,
6/9/2026,Operation Mincemeat,Fortune Theatre,"London, UK",Stalls AA5,4.75,4,5,5,5,£50.00,,,
6/9/2026,Witness for the Prosecution,London County Hall,"London, UK",,4.333333333,4,NA,4,5,£25.00,,,
6/10/2026,Matilda The Musical,Cambridge Theatre,"London, UK",Stalls B19,2.25,2,2,3,2,£40.00,,,
6/10/2026,The Mousetrap,St Martin's Theatre,"London, UK","Orchestra Stalls, Row H, Seat 20",3.333333333,4,NA,3,3,£25.00,,,
8/19/2026,Freak the Mighty,Bagley Wright Theater,"Seattle, WA","Section 2, Row N, Seats 1 & 2",3,3,3,3,3,$49,,,
